"",,"Inside panel material forsides, end walls & roof",,"The interior shall be aesthetically finished. Allvertically and horizontal corners shall be neatly andsmoothly finished with suitable Aluminum sections. Allinner paneling shall be done by decorative laminatedboard"
FRAME MATERIAL,,Roof frame,,"Top frame MS tube 80 mm X 80 mm (Materials ofstructural steel members shall conform to IS: 1079Grade O/ IS: 2062 Grade A)"
"",Side Panel frame,,"Pillar of 150 mm x 50 mm x 25 mm x 4 mm MSsection (Materials of structural steel members shallconform to IS: 1079 Grade O/ IS: 2062 Grade A)",
"",Floor panel frame,,"MS structure base frame C channel of size 125 mm x75 mm and Base filling of MS tubular pipe of 80 mm x40 mm, interconnecting MS pipe (Materials ofstructural steel members shall conform to IS: 1079Grade O/ IS: 2062 Grade A)",
"",Window panel frame,,"Aluminium powder coated frame glaze glass slidingwindows.",
"",Understructure / Base,,"Made up of MS pipe 50 mm x 50 mm x 1.2 mm thickfor vertical and beside - Centre block and outer ridewith 25 mm x 25 mm x 2 mm thick MS pipe",
"",Inside Length ± 15 mm,,12000 mm,
"",Inside Width ± 15 mm,,3000 mm,
"",Total Height (mm) ± 15mm,,2550 mm,
"",Size of Door handle,,SS 304 Latch 200mm,
"",Size of Tower bolt,,SS 304 125 mm,
"",Size of Aldrop,,200 mm x 16 mm of SS 304,
"",Size of door hinges,,100 mm of SS 304,
"","Size of Door / Window Chajja(projection if any) ± 10 mm",,455 mm wide 45 degree slope,
Specification,,Specification Name,,Bid Requirement (Allowed Values)
"",,,,
"",,"Roof projection (if any) ± 10mm",,N.A
"",,"Total thickness of Wallpanel ± 2 mm",,50 mm
"",,"Total thickness of Doorpanel ± 2 mm",,50 mm
"",,Roof ridge height ± 10 mm,,N.A
"",,"Almirah / Cabinet size ± 5mm",,N.A
MISCELENIOUS,,"Number of Door hinges Hint :For each Door",,3 nos.
"",,safety Grills (for windows),,"Made from MS square bar of 8 mm having equalspacing of 125 mm"
"",,Electric fittings,,As per Buyer's choice
"",,Number of Windows,,5 nos. Window
"",,Door opening,,External
"",,Roof ridge,,N.A
"",,"Flashing item (U track, Lcorner etc)",,N.A
"",,Locking / Security,,"Cabin have to be provision of locking Door andWindows to prevent unwanted intrusion and theft."
"",,"Overall covered area by Roof ±10 mm",,As per Buyer's choice
COLOUR AND FINISH,,Colour,,As per Buyer's choice
"",,Top coat,,N.A
"",,Paint outside,,"1 coat primer and 2 coats of enamel exteriorpaint(colour as per buyer's choice)"
"",,Inside finish,,As per Buyer's choice
"",,Logo (if any),,"Approved logo of desired size to be painted as perBuyer's requirement."
WARRANTY,,Warranty,,1 - Year
CERTIFICATION,,"Test reports to be furnishedto buyer's on demand",,Yes
"","OEM of offered product isISO 9001:2015 certified",,No,
"","OEM of offered product isISO 14001:2015 certified",,No,
"","OEM of offered product isISO 18001:2007 certified",,No,
"Consignee/ReportiS.No.AddressQuantityDelivery Daysng OfficerPradeep Narayan110003,Block-9, CGO Complex,1115BaliyaLodhi Road, New Delhi",S.No.,,"Consignee/Reporting Officer",,Address,,Quantity,,Delivery Days
1,,"Pradeep NarayanBaliya",,"110003,Block-9, CGO Complex,Lodhi Road, New Delhi",,1,,15,
